dataset,path,original_class,label,included_six_class,width,height,mode,sha256,file_size,duplicate_group_size,is_exact_duplicate,cross_label_conflict,within_dataset_duplicate_rank,eligible_after_dedup
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_1395.jpg,clothes,,False,533,400,RGB,00084030ca4e10d36a11cea6e6d368365044e8e0687c383b777acdc39ac53239,31382,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/biological/biological_508.jpg,biological,,False,800,600,RGB,0029c9c1990ff58d0a186f9a0fa0a0d8af8c9ac39e484bac47f7f41e09a17e5b,80394,1,False,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_1356.jpg,glass,glass,True,640,640,RGB,002be69bd32325dfe39a1acf896aa358c17d0f079593db1f8196338ebb7770ad,50347,1,False,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1241.jpg,shoes,,False,257,196,RGB,002eb9f7485c9993bb32931889edef83008853b275628a4bbab71632646bdcaa,11881,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_140.jpg,battery,,False,225,225,RGB,003391e797c79b55a9ac522ed6d4229e02d863c47f21099773cb62ea38a78373,7481,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_1383.jpg,cardboard,cardboard,True,259,194,RGB,003d083afe301472cd69ad0a1d6629e94052a53603f8b738d90e9072b901b2d9,5595,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_186.jpg,shoes,,False,318,159,RGB,0041a1f3d44e8d084e14810c47ef0a3c1d2a3ef978e3aba2b1c28a33cad88a55,8630,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_246.jpg,metal,metal,True,474,633,RGB,0046bd2d6777c07b825599db3966bb2a88975c8012781673ab6225a0565ff6af,40523,1,False,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_752.jpg,plastic,plastic,True,300,500,RGB,004744c7451aa793f5862f16bab66988b8d72dda45bc7b52d2b8513a37d134d9,30706,1,False,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_49.jpg,battery,,False,225,225,RGB,005452d76f1eb51fd3e0a02b10e32d29a7f605c6ecc0344849113644550344cb,7570,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_107.jpg,metal,metal,True,253,229,RGB,00575f1e68f02bd292da8783990f7fb1b8a59449b7b8b4fff81e280ab36ca881,23978,1,False,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_670.jpg,shoes,,False,168,299,RGB,005b1d4fb446e96d4e1ab40f835939bc0ee3263a7c643ff840e4ffacb4f7c95d,6925,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1051.jpg,shoes,,False,400,474,RGB,005e2ee0a943e1020f29599dcf62b9a26cc7e1e28c4db2bd7c657699a0712773,18123,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_911.jpg,glass,glass,True,250,218,RGB,005f4106116b234fe239942955bbcfc38ab009d9d6ba77f8a1723f11199cdaba,4751,1,False,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_575.jpg,battery,,False,271,186,RGB,0064f1afda5e81db3abc567734cc3a53db5693f6ed1f2d84dc7283497f84c4cc,5097,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_217.jpg,metal,metal,True,225,225,RGB,0072ef3c5e6044f5356a47c6480f93ad606d895e709908a3f7620a92b37df3bd,5245,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_1026.jpg,cardboard,cardboard,True,225,225,RGB,0073d76f536cd7c8b4cfadf1a2c7cebab3ed4fc28e3fc28247b17553e4271f47,3955,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_709.jpg,cardboard,cardboard,True,512,384,RGB,00780d2f2abc38c3f1f3c2a89c017702e890c652cfa8c6b70597278bb80d5ae0,24106,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1256.jpg,shoes,,False,259,194,RGB,007d64d7ce2ad35b05ca55e7338a8d84ed052f48110054a32c94da2cd3a292a7,7817,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1.jpg,plastic,plastic,True,512,384,RGB,00827843e2717008273bcc743c442864e5c9dcd150ac6158efd4952125ac1fb6,9588,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1205.jpg,plastic,plastic,True,512,384,RGB,008d570e2620f929bad28e8b1a5dfe5eb4abb861c02598f9f98349aae2289692,16795,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_1224.jpg,paper,paper,True,512,384,RGB,0097b8f965f69b557da82846482508e27a2b7c12f56bd3bdaaa43f69ee5c22fb,12321,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1222.jpg,shoes,,False,181,278,RGB,009a6ccea9198988274788468bc2b62fe3158f582a165caf92e1d179e63aed02,3094,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_135.jpg,cardboard,cardboard,True,474,474,RGB,009b2c10374a26b0375717e33beafb375a60ce53fec9a75a204bd9dcb13f1116,14992,1,False,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_807.jpg,clothes,,False,400,533,RGB,00aadadc07efeddb4cb837c70cb82950345d4ceeb346fedbb2c9bff791b7c1c9,27708,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_795.jpg,clothes,,False,400,533,RGB,00ab66c8927e88c0b8337718f3c9c0fbc212c3eee6c90c60a9e646592f8e74fb,39106,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_493.jpg,shoes,,False,194,259,RGB,00ad65e7eb6a2c45959691a15788a2a8ebbc55705ccb949cca2ba76fa6601a4c,8751,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_951.jpg,glass,glass,True,1051,1510,RGB,00aed1df6aa3170bd8eb76f8dff21be54762a915c52d6491b446c7c7166f6c73,400503,1,False,False,0,True
