dataset,path,original_class,label,included_six_class,width,height,mode,sha256,file_size,duplicate_group_size,is_exact_duplicate,cross_label_conflict,within_dataset_duplicate_rank,eligible_after_dedup,excluded_due_to_target_overlap,source_duplicate_rank,role
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_581.jpg,plastic,plastic,True,210,280,RGB,2e23ad9272e3b75b844c07d100b69a6a162d165adb9b2a99985cbf6fff1ebbde,21377,1,False,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_173.jpg,plastic,plastic,True,701,875,RGB,427012f8442aa000fb14a9afe5dc10ad2c5b19dc3377199d98a5fc2eb4e531b6,226548,1,False,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1521.jpg,plastic,plastic,True,931,514,RGB,7ccf6f2079e4dae62212bb3c0fc58b5d383a5809842a790151d2e1ce302ff39a,54580,1,False,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_872.jpg,paper,paper,True,1600,1280,RGB,53b39c1ee8667fa24406d304c99ecf635f504191d258f2a3ee9df22d29c3ef14,179689,1,False,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_1530.jpg,glass,glass,True,225,225,RGB,0a431936ae5a6a8e62df04dd79acd44a2685f323543895e698b8c725a35a2796,7402,2,True,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_669.jpg,glass,glass,True,474,534,RGB,50305acf6554a0e0963f28afd02c1dd9a09de2b30bb0f1da25c3636a71216d36,62998,1,False,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_1522.jpg,glass,glass,True,963,1280,RGB,8bd4b61e00f05fe26f80c249e5a5093fcdc654aae27f6523465ef6c2126c1e16,114706,1,False,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_181.jpg,cardboard,cardboard,True,580,580,RGB,5d706be982c17c3b566c8ed50bbd86f041ee5e39dfb2e366dd285cd273a7a4bc,46948,1,False,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1394.jpg,plastic,plastic,True,225,225,RGB,ddd54d81bde5089a9957ba7e9d34560988f24f569564ef5af7313550b4369ef7,3845,1,False,False,0,True,False,0.0,source_train
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_562.jpg,glass,glass,True,225,225,RGB,ffff43245500584b0cfcddf30c8693058c1eaf31964e13e7092a5d31ff373123,5937,2,True,False,0,True,False,0.0,source_train
