dataset,path,original_class,label,included_six_class,width,height,mode,sha256,file_size,duplicate_group_size,is_exact_duplicate,cross_label_conflict,within_dataset_duplicate_rank,eligible_after_dedup
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_1395.jpg,clothes,,False,533,400,RGB,00084030ca4e10d36a11cea6e6d368365044e8e0687c383b777acdc39ac53239,31382,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes1112.jpg,clothes,,False,533,400,RGB,00084030ca4e10d36a11cea6e6d368365044e8e0687c383b777acdc39ac53239,31382,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1241.jpg,shoes,,False,257,196,RGB,002eb9f7485c9993bb32931889edef83008853b275628a4bbab71632646bdcaa,11881,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes1447.jpg,shoes,,False,257,196,RGB,002eb9f7485c9993bb32931889edef83008853b275628a4bbab71632646bdcaa,11881,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_140.jpg,battery,,False,225,225,RGB,003391e797c79b55a9ac522ed6d4229e02d863c47f21099773cb62ea38a78373,7481,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/battery/battery634.jpg,battery,,False,225,225,RGB,003391e797c79b55a9ac522ed6d4229e02d863c47f21099773cb62ea38a78373,7481,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_1383.jpg,cardboard,cardboard,True,259,194,RGB,003d083afe301472cd69ad0a1d6629e94052a53603f8b738d90e9072b901b2d9,5595,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard428.jpg,cardboard,cardboard,True,259,194,RGB,003d083afe301472cd69ad0a1d6629e94052a53603f8b738d90e9072b901b2d9,5595,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_186.jpg,shoes,,False,318,159,RGB,0041a1f3d44e8d084e14810c47ef0a3c1d2a3ef978e3aba2b1c28a33cad88a55,8630,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes1169.jpg,shoes,,False,318,159,RGB,0041a1f3d44e8d084e14810c47ef0a3c1d2a3ef978e3aba2b1c28a33cad88a55,8630,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_49.jpg,battery,,False,225,225,RGB,005452d76f1eb51fd3e0a02b10e32d29a7f605c6ecc0344849113644550344cb,7570,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/battery/battery174.jpg,battery,,False,225,225,RGB,005452d76f1eb51fd3e0a02b10e32d29a7f605c6ecc0344849113644550344cb,7570,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_670.jpg,shoes,,False,168,299,RGB,005b1d4fb446e96d4e1ab40f835939bc0ee3263a7c643ff840e4ffacb4f7c95d,6925,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes520.jpg,shoes,,False,168,299,RGB,005b1d4fb446e96d4e1ab40f835939bc0ee3263a7c643ff840e4ffacb4f7c95d,6925,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1051.jpg,shoes,,False,400,474,RGB,005e2ee0a943e1020f29599dcf62b9a26cc7e1e28c4db2bd7c657699a0712773,18123,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes1823.jpg,shoes,,False,400,474,RGB,005e2ee0a943e1020f29599dcf62b9a26cc7e1e28c4db2bd7c657699a0712773,18123,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_575.jpg,battery,,False,271,186,RGB,0064f1afda5e81db3abc567734cc3a53db5693f6ed1f2d84dc7283497f84c4cc,5097,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/battery/battery279.jpg,battery,,False,271,186,RGB,0064f1afda5e81db3abc567734cc3a53db5693f6ed1f2d84dc7283497f84c4cc,5097,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_217.jpg,metal,metal,True,225,225,RGB,0072ef3c5e6044f5356a47c6480f93ad606d895e709908a3f7620a92b37df3bd,5245,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/metal/metal542.jpg,metal,metal,True,225,225,RGB,0072ef3c5e6044f5356a47c6480f93ad606d895e709908a3f7620a92b37df3bd,5245,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_1026.jpg,cardboard,cardboard,True,225,225,RGB,0073d76f536cd7c8b4cfadf1a2c7cebab3ed4fc28e3fc28247b17553e4271f47,3955,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard652.jpg,cardboard,cardboard,True,225,225,RGB,0073d76f536cd7c8b4cfadf1a2c7cebab3ed4fc28e3fc28247b17553e4271f47,3955,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_709.jpg,cardboard,cardboard,True,512,384,RGB,00780d2f2abc38c3f1f3c2a89c017702e890c652cfa8c6b70597278bb80d5ae0,24106,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard150.jpg,cardboard,cardboard,True,512,384,RGB,00780d2f2abc38c3f1f3c2a89c017702e890c652cfa8c6b70597278bb80d5ae0,24106,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/cardboard/cardboard308.jpg,cardboard,cardboard,True,512,384,RGB,00780d2f2abc38c3f1f3c2a89c017702e890c652cfa8c6b70597278bb80d5ae0,24106,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1256.jpg,shoes,,False,259,194,RGB,007d64d7ce2ad35b05ca55e7338a8d84ed052f48110054a32c94da2cd3a292a7,7817,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes1569.jpg,shoes,,False,259,194,RGB,007d64d7ce2ad35b05ca55e7338a8d84ed052f48110054a32c94da2cd3a292a7,7817,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1.jpg,plastic,plastic,True,512,384,RGB,00827843e2717008273bcc743c442864e5c9dcd150ac6158efd4952125ac1fb6,9588,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic363.jpg,plastic,plastic,True,512,384,RGB,00827843e2717008273bcc743c442864e5c9dcd150ac6158efd4952125ac1fb6,9588,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/plastic/plastic475.jpg,plastic,plastic,True,512,384,RGB,00827843e2717008273bcc743c442864e5c9dcd150ac6158efd4952125ac1fb6,9588,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1205.jpg,plastic,plastic,True,512,384,RGB,008d570e2620f929bad28e8b1a5dfe5eb4abb861c02598f9f98349aae2289692,16795,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic177.jpg,plastic,plastic,True,512,384,RGB,008d570e2620f929bad28e8b1a5dfe5eb4abb861c02598f9f98349aae2289692,16795,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/plastic/plastic346.jpg,plastic,plastic,True,512,384,RGB,008d570e2620f929bad28e8b1a5dfe5eb4abb861c02598f9f98349aae2289692,16795,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_1224.jpg,paper,paper,True,512,384,RGB,0097b8f965f69b557da82846482508e27a2b7c12f56bd3bdaaa43f69ee5c22fb,12321,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/paper/paper599.jpg,paper,paper,True,512,384,RGB,0097b8f965f69b557da82846482508e27a2b7c12f56bd3bdaaa43f69ee5c22fb,12321,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/paper/paper219.jpg,paper,paper,True,512,384,RGB,0097b8f965f69b557da82846482508e27a2b7c12f56bd3bdaaa43f69ee5c22fb,12321,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1222.jpg,shoes,,False,181,278,RGB,009a6ccea9198988274788468bc2b62fe3158f582a165caf92e1d179e63aed02,3094,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes215.jpg,shoes,,False,181,278,RGB,009a6ccea9198988274788468bc2b62fe3158f582a165caf92e1d179e63aed02,3094,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_807.jpg,clothes,,False,400,533,RGB,00aadadc07efeddb4cb837c70cb82950345d4ceeb346fedbb2c9bff791b7c1c9,27708,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes680.jpg,clothes,,False,400,533,RGB,00aadadc07efeddb4cb837c70cb82950345d4ceeb346fedbb2c9bff791b7c1c9,27708,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_795.jpg,clothes,,False,400,533,RGB,00ab66c8927e88c0b8337718f3c9c0fbc212c3eee6c90c60a9e646592f8e74fb,39106,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes4273.jpg,clothes,,False,400,533,RGB,00ab66c8927e88c0b8337718f3c9c0fbc212c3eee6c90c60a9e646592f8e74fb,39106,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_493.jpg,shoes,,False,194,259,RGB,00ad65e7eb6a2c45959691a15788a2a8ebbc55705ccb949cca2ba76fa6601a4c,8751,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes204.jpg,shoes,,False,194,259,RGB,00ad65e7eb6a2c45959691a15788a2a8ebbc55705ccb949cca2ba76fa6601a4c,8751,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_705.jpg,shoes,,False,275,183,RGB,00af1e688e668cc8e0901c682519da9ad2ef5be5f74b35c8826cacf26132061d,8855,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes651.jpg,shoes,,False,275,183,RGB,00af1e688e668cc8e0901c682519da9ad2ef5be5f74b35c8826cacf26132061d,8855,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_760.jpg,paper,paper,True,512,384,RGB,00c4d3ae3fb39a268af2e2ab7d567d64a6275a88ea04ea6e34e727570a3c541d,12438,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/paper/paper938.jpg,paper,paper,True,512,384,RGB,00c4d3ae3fb39a268af2e2ab7d567d64a6275a88ea04ea6e34e727570a3c541d,12438,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/paper/paper495.jpg,paper,paper,True,512,384,RGB,00c4d3ae3fb39a268af2e2ab7d567d64a6275a88ea04ea6e34e727570a3c541d,12438,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_421.jpg,metal,metal,True,512,384,RGB,00cb113efab64e877fe763e04113e4d6cd0f7448fad899bac05164614edf779a,17170,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/metal/metal30.jpg,metal,metal,True,512,384,RGB,00cb113efab64e877fe763e04113e4d6cd0f7448fad899bac05164614edf779a,17170,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/metal/metal112.jpg,metal,metal,True,512,384,RGB,00cb113efab64e877fe763e04113e4d6cd0f7448fad899bac05164614edf779a,17170,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_779.jpg,glass,glass,True,512,384,RGB,00cba166ae35f321e828c3a5bf23a3f626b027ffa14e43c11423994972f319a0,12421,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/white-glass/white-glass186.jpg,white-glass,glass,True,512,384,RGB,00cba166ae35f321e828c3a5bf23a3f626b027ffa14e43c11423994972f319a0,12421,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/glass/glass465.jpg,glass,glass,True,512,384,RGB,00cba166ae35f321e828c3a5bf23a3f626b027ffa14e43c11423994972f319a0,12421,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_1012.jpg,shoes,,False,225,225,RGB,00d8ec7548eaab178c54286d7499864fe9e9dab051134b5f7d7ed9a00afd2097,5421,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes696.jpg,shoes,,False,225,225,RGB,00d8ec7548eaab178c54286d7499864fe9e9dab051134b5f7d7ed9a00afd2097,5421,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_49.jpg,plastic,plastic,True,512,384,RGB,00e0bbcc0a75007fb79cb8e2e96a48c3d32941ee9ae8918590f846261d5aaac1,12113,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic263.jpg,plastic,plastic,True,512,384,RGB,00e0bbcc0a75007fb79cb8e2e96a48c3d32941ee9ae8918590f846261d5aaac1,12113,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/plastic/plastic100.jpg,plastic,plastic,True,512,384,RGB,00e0bbcc0a75007fb79cb8e2e96a48c3d32941ee9ae8918590f846261d5aaac1,12113,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_222.jpg,shoes,,False,309,163,RGB,00e3b6619cd67b0e82a4fa4e0167b8b3ba4c74f73631fe901fbb916ed173d95a,6581,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes1580.jpg,shoes,,False,309,163,RGB,00e3b6619cd67b0e82a4fa4e0167b8b3ba4c74f73631fe901fbb916ed173d95a,6581,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_1134.jpg,cardboard,cardboard,True,512,384,RGB,00e86b371fee7ff97b1709cf88e5ef4859ac4fd7463a9f15f2c67e7696be8029,34918,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard97.jpg,cardboard,cardboard,True,512,384,RGB,00e86b371fee7ff97b1709cf88e5ef4859ac4fd7463a9f15f2c67e7696be8029,34918,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/cardboard/cardboard266.jpg,cardboard,cardboard,True,512,384,RGB,00e86b371fee7ff97b1709cf88e5ef4859ac4fd7463a9f15f2c67e7696be8029,34918,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_447.jpg,battery,,False,246,205,RGB,00f96739de25f8473b527aa14f777fd5cfce8d9e8a74624d740ec09a99b5c2b1,4131,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/battery/battery215.jpg,battery,,False,246,205,RGB,00f96739de25f8473b527aa14f777fd5cfce8d9e8a74624d740ec09a99b5c2b1,4131,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_125.jpg,plastic,plastic,True,512,384,RGB,00fda87186fdaf0484e7e3e3c5a56a22556c6c12c1d042c65d19821cfa460bc2,10938,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic399.jpg,plastic,plastic,True,512,384,RGB,00fda87186fdaf0484e7e3e3c5a56a22556c6c12c1d042c65d19821cfa460bc2,10938,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/plastic/plastic65.jpg,plastic,plastic,True,512,384,RGB,00fda87186fdaf0484e7e3e3c5a56a22556c6c12c1d042c65d19821cfa460bc2,10938,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_915.jpg,paper,paper,True,512,384,RGB,010398aaaa4a7510fe1437862435d88013bce4f386a2f891ca3cb8180ebdd50c,9499,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/paper/paper629.jpg,paper,paper,True,512,384,RGB,010398aaaa4a7510fe1437862435d88013bce4f386a2f891ca3cb8180ebdd50c,9499,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/paper/paper243.jpg,paper,paper,True,512,384,RGB,010398aaaa4a7510fe1437862435d88013bce4f386a2f891ca3cb8180ebdd50c,9499,3,True,False,0,True
