dataset,path,original_class,label,included_six_class,width,height,mode,sha256,file_size,duplicate_group_size,is_exact_duplicate,cross_label_conflict,within_dataset_duplicate_rank,eligible_after_dedup,excluded_due_to_target_overlap
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard428.jpg,cardboard,cardboard,True,259,194,RGB,003d083afe301472cd69ad0a1d6629e94052a53603f8b738d90e9072b901b2d9,5595,2,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/metal/metal542.jpg,metal,metal,True,225,225,RGB,0072ef3c5e6044f5356a47c6480f93ad606d895e709908a3f7620a92b37df3bd,5245,2,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard652.jpg,cardboard,cardboard,True,225,225,RGB,0073d76f536cd7c8b4cfadf1a2c7cebab3ed4fc28e3fc28247b17553e4271f47,3955,2,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard150.jpg,cardboard,cardboard,True,512,384,RGB,00780d2f2abc38c3f1f3c2a89c017702e890c652cfa8c6b70597278bb80d5ae0,24106,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic363.jpg,plastic,plastic,True,512,384,RGB,00827843e2717008273bcc743c442864e5c9dcd150ac6158efd4952125ac1fb6,9588,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic177.jpg,plastic,plastic,True,512,384,RGB,008d570e2620f929bad28e8b1a5dfe5eb4abb861c02598f9f98349aae2289692,16795,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/paper/paper599.jpg,paper,paper,True,512,384,RGB,0097b8f965f69b557da82846482508e27a2b7c12f56bd3bdaaa43f69ee5c22fb,12321,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/paper/paper938.jpg,paper,paper,True,512,384,RGB,00c4d3ae3fb39a268af2e2ab7d567d64a6275a88ea04ea6e34e727570a3c541d,12438,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/metal/metal30.jpg,metal,metal,True,512,384,RGB,00cb113efab64e877fe763e04113e4d6cd0f7448fad899bac05164614edf779a,17170,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/white-glass/white-glass186.jpg,white-glass,glass,True,512,384,RGB,00cba166ae35f321e828c3a5bf23a3f626b027ffa14e43c11423994972f319a0,12421,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic263.jpg,plastic,plastic,True,512,384,RGB,00e0bbcc0a75007fb79cb8e2e96a48c3d32941ee9ae8918590f846261d5aaac1,12113,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard97.jpg,cardboard,cardboard,True,512,384,RGB,00e86b371fee7ff97b1709cf88e5ef4859ac4fd7463a9f15f2c67e7696be8029,34918,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic399.jpg,plastic,plastic,True,512,384,RGB,00fda87186fdaf0484e7e3e3c5a56a22556c6c12c1d042c65d19821cfa460bc2,10938,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/paper/paper629.jpg,paper,paper,True,512,384,RGB,010398aaaa4a7510fe1437862435d88013bce4f386a2f891ca3cb8180ebdd50c,9499,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/metal/metal182.jpg,metal,metal,True,512,384,RGB,010951f3951c2ec38c5ee138f620c5ee83bf032e36944959ad028ae8f80e5b2a,28231,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/green-glass/green-glass150.jpg,green-glass,glass,True,512,384,RGB,0112afaa0a92911ec345fbf99723dad11d1b7005cb0d923b2526cb4cb33cc56c,14615,3,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic710.jpg,plastic,plastic,True,225,225,RGB,011c2f57237659cdcafa68ef273d1b91e62c006f73c9c68d6f7213cb0c5f27be,2599,2,True,False,0,True,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard545.jpg,cardboard,cardboard,True,257,196,RGB,012632f435b5a1a30e4be24c117cb7a39bf95175fdd8ac4c290f17bdbe045c1f,4255,2,True,False,0,True,True
