dataset,path,original_class,label,included_six_class,width,height,mode,sha256,file_size,duplicate_group_size,is_exact_duplicate,cross_label_conflict,within_dataset_duplicate_rank,eligible_after_dedup,excluded_due_to_target_overlap
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_709.jpg,cardboard,cardboard,True,512,384,RGB,00780d2f2abc38c3f1f3c2a89c017702e890c652cfa8c6b70597278bb80d5ae0,24106,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1.jpg,plastic,plastic,True,512,384,RGB,00827843e2717008273bcc743c442864e5c9dcd150ac6158efd4952125ac1fb6,9588,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1205.jpg,plastic,plastic,True,512,384,RGB,008d570e2620f929bad28e8b1a5dfe5eb4abb861c02598f9f98349aae2289692,16795,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_1224.jpg,paper,paper,True,512,384,RGB,0097b8f965f69b557da82846482508e27a2b7c12f56bd3bdaaa43f69ee5c22fb,12321,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_760.jpg,paper,paper,True,512,384,RGB,00c4d3ae3fb39a268af2e2ab7d567d64a6275a88ea04ea6e34e727570a3c541d,12438,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_421.jpg,metal,metal,True,512,384,RGB,00cb113efab64e877fe763e04113e4d6cd0f7448fad899bac05164614edf779a,17170,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_779.jpg,glass,glass,True,512,384,RGB,00cba166ae35f321e828c3a5bf23a3f626b027ffa14e43c11423994972f319a0,12421,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_49.jpg,plastic,plastic,True,512,384,RGB,00e0bbcc0a75007fb79cb8e2e96a48c3d32941ee9ae8918590f846261d5aaac1,12113,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_1134.jpg,cardboard,cardboard,True,512,384,RGB,00e86b371fee7ff97b1709cf88e5ef4859ac4fd7463a9f15f2c67e7696be8029,34918,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_125.jpg,plastic,plastic,True,512,384,RGB,00fda87186fdaf0484e7e3e3c5a56a22556c6c12c1d042c65d19821cfa460bc2,10938,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_915.jpg,paper,paper,True,512,384,RGB,010398aaaa4a7510fe1437862435d88013bce4f386a2f891ca3cb8180ebdd50c,9499,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_727.jpg,metal,metal,True,512,384,RGB,010951f3951c2ec38c5ee138f620c5ee83bf032e36944959ad028ae8f80e5b2a,28231,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_473.jpg,glass,glass,True,512,384,RGB,0112afaa0a92911ec345fbf99723dad11d1b7005cb0d923b2526cb4cb33cc56c,14615,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_236.jpg,paper,paper,True,512,384,RGB,0154670a99ea33a7df713e3c1d46b3ddbaae489fe243844947b242e395041fe8,26990,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/trash/trash_434.jpg,trash,trash,True,512,384,RGB,016c256ade2e52c40791cd3fca036b17e3e01219c80a2f7a4798dd055b2b9ecf,10933,2,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_1402.jpg,glass,glass,True,512,384,RGB,01ab3f001cc739fff5eeb801be46140c80d43a4577384ff20a1acef9f446cf84,16389,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_566.jpg,paper,paper,True,512,384,RGB,01de0e642d3da0ca996db66780a0de0494a68a4f9897fdd8747850bcbac51174,13436,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_280.jpg,glass,glass,True,512,384,RGB,01def532b4d96400d1dce7a04ee1a8a89c152ff168deae2252c7f91d5b2f4c67,12444,2,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1236.jpg,plastic,plastic,True,512,384,RGB,01f8d026e7a6f1fc6bc47cf9ddb98e7c23d0cfb538a2f1822bf5287beceb6872,14394,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_375.jpg,plastic,plastic,True,512,384,RGB,023c1c633cd1d69cac64abb54d1d300f51fe2c208770db4732584e35382591c5,17885,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_77.jpg,metal,metal,True,512,384,RGB,0240d79e364cd38b6b0ae37f8fa09d5121a65e2ba21eb4229f9931346aa460c6,14179,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_831.jpg,metal,metal,True,512,384,RGB,0253bcb2f1b13887013ce924d61ff67f63a02b377ae6ee189541e4d18acde7ba,9812,3,True,False,0,True,True
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_1042.jpg,paper,paper,True,512,384,RGB,026ff2aaf51863144d94ac30c00a9ebad58cdb01335f58128474e1b3bc386ca7,10995,3,True,False,0,True,True
