model,experiment_key,experiment,target_dataset,seed,source_train_images,source_validation_images,target_test_images,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,mcc,best_validation_epoch,best_validation_macro_f1,generalization_gap,balanced_sampling,use_ccoral,alignment_type,augmentation_policy,memory_bank_size,memory_bank_minimum,coral_weight,training_minutes
ResNet50,B0,B0 Standard ResNet50,realwaste,42,8442,1492,3587,0.5564538611653193,0.5980866473612486,0.5356207338328739,0.5222099586339737,0.5533309439318471,0.5356207338328739,0.4724086845270558,12,0.9439891497343073,0.4217791911003336,False,False,none,standard,,,0.0,33.80429414908091
ResNet50,B0,B0 Standard ResNet50,realwaste,123,8442,1492,3587,0.5734597156398105,0.5988336201146529,0.5523313464985785,0.5428282853095003,0.5668669767103391,0.5523313464985785,0.4869866175603818,19,0.9458299396420822,0.40300165433258184,False,False,none,standard,,,0.0,37.87750609318415
ResNet50,B0,B0 Standard ResNet50,realwaste,2026,8442,1492,3587,0.547253972679119,0.6131447975204884,0.5238314425659509,0.5229803721113649,0.5482626059771918,0.5238314425659509,0.45652605671120294,7,0.9386462254336467,0.4156658533222818,False,False,none,standard,,,0.0,21.96110583146413
ResNet50,B0,B0 Standard ResNet50,realwaste,3407,8442,1492,3587,0.5765263451352105,0.6152349598732664,0.5642383386882979,0.5395151657295202,0.5646225714476092,0.5642383386882979,0.49404995378403255,15,0.9460320678074061,0.40651690207788593,False,False,none,standard,,,0.0,37.83342443704605
ResNet50,B0,B0 Standard ResNet50,realwaste,5891,8442,1492,3587,0.5277390577083915,0.5909952569811645,0.5158396761223851,0.5120801644239222,0.5361312220549652,0.5158396761223851,0.4420405522735243,13,0.9444318446351895,0.43235168021126724,False,False,none,standard,,,0.0,34.15814977089564
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,42,8442,1492,3587,0.5280178422079732,0.5840615343867127,0.5217951260697324,0.5024195108277923,0.5286308449280258,0.5217951260697324,0.4480033218038635,18,0.9499218496955363,0.44750233886774393,False,False,none,robust,,,0.0,70.27328276236852
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,123,8442,1492,3587,0.5692779481460831,0.5766882183856753,0.5323659689603372,0.5308851871034226,0.5632224842638183,0.5323659689603372,0.4762145354657831,17,0.945411963178915,0.4145267760754924,False,False,none,robust,,,0.0,73.9557911435763
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,2026,8442,1492,3587,0.5302481182046278,0.5963202873421468,0.5199166445300343,0.51476536439822,0.5338899717825084,0.5199166445300343,0.4430906622851939,18,0.9478147347766259,0.43304937037840596,False,False,none,robust,,,0.0,72.26044478019078
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,3407,8442,1492,3587,0.5213270142180095,0.5838789572377762,0.5159005925014678,0.4924937371576817,0.5160614895760399,0.5159005925014678,0.4388532312441332,20,0.9447294890049006,0.4522357518472189,False,False,none,robust,,,0.0,71.19921253522237
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,5891,8442,1492,3587,0.5296905492054642,0.5777054991721206,0.5258821720741093,0.5213121378950488,0.5381035850251152,0.5258821720741093,0.4441356738266328,20,0.9446370104938788,0.42332487259883,False,False,none,robust,,,0.0,70.99505123694738
ResNet50,B2,B2 Global CORAL,realwaste,42,8442,1492,3587,0.5656537496515194,0.6091666635936454,0.5472080213380273,0.5355024114332169,0.558950458555719,0.5472080213380273,0.47936893969152783,15,0.9510913910824873,0.41558897964927044,False,False,global_coral,standard,,,1.0,37.697494240601856
ResNet50,B2,B2 Global CORAL,realwaste,123,8442,1492,3587,0.5748536381377195,0.5976104081762703,0.5636336535511642,0.5563464609828299,0.5775889640327568,0.5636336535511642,0.49109437018490815,11,0.9433021259253094,0.38695566494247946,False,False,global_coral,standard,,,1.0,30.35326351324717
ResNet50,B2,B2 Global CORAL,realwaste,2026,8442,1492,3587,0.559799275160301,0.6128634182140053,0.5466049966621732,0.535881996135526,0.5598325569595496,0.5466049966621732,0.47777999022209516,20,0.9494161410815231,0.41353414494599705,False,False,global_coral,standard,,,1.0,38.392414911588034
ResNet50,B2,B2 Global CORAL,realwaste,3407,8442,1492,3587,0.5720657931419013,0.6105722356580692,0.5643818050270536,0.5492318771858579,0.5675622174415913,0.5643818050270536,0.49288457869638747,17,0.9356338760555056,0.38640199886964777,False,False,global_coral,standard,,,1.0,38.34242953459422
ResNet50,B2,B2 Global CORAL,realwaste,5891,8442,1492,3587,0.5533872316699191,0.5915126363383388,0.5348301218388781,0.5211849183468518,0.5490619240934643,0.5348301218388781,0.4665862067006636,15,0.9429157323531917,0.42173081400633994,False,False,global_coral,standard,,,1.0,37.56917382478714
ResNet50,B3a,B3a Balanced Sampling,realwaste,42,8442,1492,3587,0.5712294396431559,0.6174942214127298,0.5584441970917334,0.5402188924054709,0.5644886140239768,0.5584441970917334,0.49557863382513845,18,0.9518877793580017,0.4116688869525308,True,False,none,standard,,,0.0,34.392675431569415
ResNet50,B3a,B3a Balanced Sampling,realwaste,123,8442,1492,3587,0.5731809311402286,0.5879135253794051,0.5539990640455893,0.5468934573795365,0.5705471863588701,0.5539990640455893,0.4862655268083137,20,0.9460343799785683,0.3991409225990318,True,False,none,standard,,,0.0,34.87775856256485
